n,Iterative,Dynamic Programming
1,0.00360,0.00284
2,0.00282,0.00269
3,0.00262,0.00265
4,0.00258,0.00265
5,0.00233,0.00257
6,0.00258,0.00281
7,0.00484,0.00263
8,0.00253,0.00251
9,0.00250,0.00249
10,0.00247,0.00248
11,0.00246,0.00245
12,0.00445,0.00238
13,0.00247,0.00471
14,0.00462,0.00239
15,0.00241,0.00216
16,0.00465,0.00448
17,0.00447,0.00432
18,0.00431,0.00451
19,0.00457,0.00443
20,0.00428,0.00471
21,0.00449,0.00447
22,0.00443,0.00431
23,0.00425,0.00417
24,0.00412,0.00422
25,0.00430,0.00431
26,0.00416,0.00440
27,0.00432,0.00437
28,0.00416,0.00404
29,0.00404,0.00412
30,0.00438,0.00436
31,0.00438,0.00404
32,0.00402,0.00392
33,0.00417,0.00403
34,0.00410,0.00436
35,0.00443,0.00409
36,0.00418,0.00402
37,0.00404,0.00421
38,0.00424,0.00405
39,0.00419,0.00414
40,0.00426,0.00414
41,0.00432,0.00434
42,0.00428,0.00428
43,0.00818,0.00809
44,0.00401,0.00828
45,0.00842,0.00824
46,0.00802,0.00861
47,0.00850,0.00863
48,0.00880,0.00849
49,0.00896,0.00830
50,0.00834,0.00820
51,0.00825,0.00823
52,0.00819,0.00839
53,0.00841,0.00829
54,0.00821,0.00817
55,0.00830,0.00860
56,0.00836,0.00878
57,0.00841,0.00810
58,0.00814,0.00843
59,0.00841,0.00851
60,0.00825,0.00919
61,0.00842,0.00816
62,0.00826,0.00826
63,0.00857,0.00857
64,0.00814,0.00814
65,0.00807,0.00841
66,0.00810,0.00841
67,0.00862,0.00928
68,0.00862,0.00867
69,0.00842,0.00841
70,0.00839,0.00834
71,0.00866,0.00842
72,0.00823,0.00822
73,0.00843,0.00849
74,0.00870,0.00836
75,0.00816,0.00816
76,0.00820,0.00813
77,0.00816,0.00813
78,0.00811,0.00813
79,0.00812,0.00841
80,0.01703,0.00880
81,0.00915,0.00852
82,0.00836,0.00831
83,0.01669,0.00862
84,0.00848,0.00923
85,0.00836,0.01658
86,0.00832,0.00831
87,0.01711,0.00883
88,0.00844,0.01688
89,0.00845,0.01681
90,0.00839,0.01648
91,0.01656,0.00851
92,0.01674,0.01644
93,0.00861,0.01652
94,0.00858,0.01662
95,0.00835,0.00823
96,0.01811,0.01657
97,0.01655,0.01687
98,0.01658,0.01655
99,0.01654,0.01652
100,0.01661,0.01652
101,0.01635,0.01647
102,0.01468,0.01647
103,0.01648,0.01649
104,0.01654,0.01656
105,0.01656,0.01648
106,0.01631,0.01635
107,0.01647,0.01664
108,0.01641,0.01643
109,0.01793,0.01696
110,0.01670,0.01643
111,0.01655,0.01667
112,0.01658,0.01642
113,0.01658,0.01667
114,0.01669,0.01667
115,0.01658,0.01639
116,0.01641,0.01634
117,0.01631,0.01647
118,0.01627,0.01636
119,0.01625,0.01625
120,0.01635,0.01628
121,0.01628,0.01630
122,0.01630,0.01641
123,0.01641,0.01637
124,0.01662,0.01681
125,0.01639,0.01651
126,0.01645,0.01648
127,0.01656,0.01652
128,0.01642,0.01638
129,0.01698,0.01640
130,0.01690,0.01676
131,0.01688,0.01693
132,0.01655,0.01768
133,0.01696,0.01679
134,0.01641,0.01631
135,0.01652,0.01651
136,0.01644,0.01670
137,0.01683,0.01679
138,0.01639,0.01633
139,0.01686,0.01666
140,0.01670,0.01652
141,0.01658,0.01645
142,0.01640,0.01677
143,0.01698,0.01678
